Aircraft,Type of Traveler,Seat,Route,Date,Ratings,Recommended,Review
A320,Couple Leisure,Business Class,Palma to London Heathrow,August 2019,[],,"""time for some heads to roll"""
A320,Solo Leisure,Business Class,London Heathrow to Malaga,July 2019,[],,"""are staff preparing to go on strike"""
A320,Business,Business Class,Mykonos to London,July 2019,[],,"""worst business class experience"""
Boeing 777,Solo Leisure,Premium Economy,London to Dubai,July 2019,[],"<td class=""review-value rating-yes"">yes</td>","""professional and very friendly"""
A320,Solo Leisure,Business Class,Brussels to Larnaca via London,June 2019,[],"<td class=""review-value rating-yes"">yes</td>","""team was very friendly"""
A320,Couple Leisure,Business Class,Stockholm to London,July 2019,[],,"""The meal was inedible"""
A320,Couple Leisure,Business Class,Lisbon to London,July 2019,[],,"""Meal service had no choice"""
A320,Business,Business Class,Madrid to London,July 2019,[],,"""nothing left of business class"""
A320,Couple Leisure,Business Class,London Heathrow to Larnaca,June 2019,[],"<td class=""review-value rating-yes"">yes</td>","""a very enjoyable trip"""
Boeing 747,Business,Business Class,Miami to Delhi via London Heathrow,June 2019,[],,"""Not worth the money"""
Boeing 744,Couple Leisure,Business Class,Cape Town to London Heathrow,May 2019,[],"<td class=""review-value rating-yes"">yes</td>","""an old style business class experience"""
A319,Business,Business Class,Gatwick to Dubrovnik,May 2019,[],,British Airways customer review
A320,Business,Business Class,Faro to Heathrow,May 2019,[],,"""baggage is always last off"""
Boeing 747,Couple Leisure,Business Class,Vancouver to London,April 2019,[],"<td class=""review-value rating-yes"">yes</td>","""staff were absolutely delightful"""
Boeing 747-400,Business,Business Class,London to Seattle,April 2019,[],,"""the product is outdated"""
A320,Family Leisure,Business Class,London to Gibraltar,April 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Flight was good"""
Boeing 747,Business,Business Class,London to Boston,March 2019,[],,"""Not good for business"""
A320,Business,Business Class,Larnaca to London,March 2019,[],,"""personal space is so tight"""
Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,February 2019,[],,"""effectively a low cost airline"""
A320,Family Leisure,Business Class,London to Pisa,March 2019,[],,"""The most miserable rip off"""
A380,Business,Business Class,London to Johannesburg,December 2018,[],,"""no pre-dinner drinks served"""
Boeing 747-400,Family Leisure,Premium Economy,London to New York JFK,February 2019,[],"<td class=""review-value rating-yes"">yes</td>","""this was a good flight"""
Boeing 777,Business,Business Class,Gatwick to St Lucia,February 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Much improved, well done"""
A380,Family Leisure,Business Class,Johannesburg to London,February 2019,[],"<td class=""review-value rating-yes"">yes</td>","""an average experience"""
A380,Couple Leisure,Business Class,London to Johannesburg ,January 2019,[],"<td class=""review-value rating-yes"">yes</td>","""it's showing its age"""
A380,Family Leisure,Business Class,London to Johannesburg,January 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Crew on this sector were good"""
A320,Business,Business Class,London to Dublin,January 2019,[],"<td class=""review-value rating-yes"">yes</td>","""Excellent short flight"""
Boeing 777,Couple Leisure,Premium Economy,Bermuda to Gatwick,January 2019,[],,"""a worn-out Boeing 777"""
A380,Solo Leisure,Premium Economy,Miami to London,January 2019,[],,"""breakfast served was terrible"""
Boeing 747,Business,Business Class,London to Miami,January 2019,[],,"""Worst long haul business class"""
A380,Couple Leisure,Business Class,Johannesburg to London,November 2018,[],,"""a total disappointment"""
Boeing 777,Couple Leisure,Business Class,Bridgetown to Gatwick,December 2018,[],,"""Poor cabin staff attitude"""
Boeing 777,Business,Business Class,Sydney to London via Singapore,December 2018,[],,"""would not recommend BA"""
Boeing 777,Business,Business Class,Antigua to Gatwick,December 2018,[],,"""worst business class"""
Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,November 2018,[],,"""unimpressive amenities and service"""
Boeing 777,Couple Leisure,Premium Economy,Nassau to London,November 2018,[],,"""Premium Economy is a joke"""
Boeing 747,Business,Business Class,Phoenix to Accra via London,November 2018,[],"<td class=""review-value rating-yes"">yes</td>","""gesture of professionalism"""
Boeing 747,Solo Leisure,Premium Economy,Basel to San Fransisco via Heathrow,November 2018,[],,"""space around the seat is cramped"""
A320,Solo Leisure,Business Class,Stockholm to London,November 2018,[],"<td class=""review-value rating-yes"">yes</td>","""wonderful crew"""
Boeing 777,Business,Business Class,Riyadh to London,November 2018,[],,"""space is ridiculously narrow"""
Boeing 777,Business,Business Class,Gatwick to Orlando,October 2018,[],,"""ditch this non responsive airline"""
A380,Business,Business Class,Johannesburg to London,October 2018,[],,"""does not seem to get any better"""
Boeing 747-400,Couple Leisure,Business Class,London to Los Angeles,August 2018,[],,"""BA club world is a farce"""
Boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,September 2018,[],,"""BA lacks consistency"""
A319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,June 2018,[],,"""BA sort this shambles out"""
A320,Couple Leisure,Business Class,Brindisi to London,September 2018,[],,"""experience is so lacklustre"""
A380,Couple Leisure,Premium Economy,Chicago to London,September 2018,[],,"""dreadful seats by the toilet"""
Boeing 777,Solo Leisure,Premium Economy,Riyadh to London ,August 2018,[],"<td class=""review-value rating-yes"">yes</td>","""staff was professional"""
Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,September 2018,[],,"""Staff very cheerful"""
Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,[],"<td class=""review-value rating-yes"">yes</td>","""overall job well done"""
A320,Couple Leisure,Business Class,London to Athens,August 2018,[],,"""the quality becomes worse"""
A380,Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,[],,"""totally disappointed"""
Boeing 777,Solo Leisure,Premium Economy,Toronto to London,August 2018,[],"<td class=""review-value rating-yes"">yes</td>","""improved on board experience"""
A380,Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,[],,"""Really very good FA's"""
A320,Couple Leisure,Business Class,Paphos to Gatwick,July 2018,[],,"""let down by the ground services"""
A320,Couple Leisure,Business Class,Gatwick to Paphos,July 2018,[],"<td class=""review-value rating-yes"">yes</td>","""Very happy with the service"""
Boeing 747-400,Family Leisure,Business Class,New York to Nairobi via London,July 2018,[],,"""charges to select Business Class seats"""
Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,July 2018,[],,"""pay again to pre-reserve seats"""
A320,Solo Leisure,Business Class,Faro to Gatwick,July 2018,[],"<td class=""review-value rating-yes"">yes</td>","""food and drink was pretty good"""
A320,Solo Leisure,Business Class,Gatwick to Faro,July 2018,[],"<td class=""review-value rating-yes"">yes</td>","""a decent enough flight"""
Boeing 777,Business,Business Class,London to Shanghai,June 2018,[],,"""not provided any explanation"""
A320,Couple Leisure,Business Class,Gatwick to Gibraltar,June 2018,[],"<td class=""review-value rating-yes"">yes</td>","""return flight was faultless"""
Boeing 777,Business,Business Class,Newark to London Heathrow,June 2018,[],,"""experience has deteriorated significantly"""
Boeing 747-400,Couple Leisure,Business Class,Cape Town to London Heathrow,June 2018,[],,"""FAs went through the motions"""
A320,Couple Leisure,Business Class,London Heathrow to Corfu ,May 2018,[],"<td class=""review-value rating-yes"">yes</td>","""very pleasantly surprised"""
A380,Business,Business Class,Los Angeles to London Heathrow,May 2018,[],,"""such a poor quality product"""
Boeing 747-400,Business,Business Class,Cape Town to London,May 2018,[],,"""very poor cabin service"""
A320,Business,Business Class,Vienna to London Heathrow,May 2018,[],"<td class=""review-value rating-yes"">yes</td>","""service was quite prompt"""
Boeing 747,Business,Business Class,London to Phoenix ,May 2018,[],"<td class=""review-value rating-yes"">yes</td>","""the service pleasant enough"""
Boeing 777,Couple Leisure,Business Class,Hong Kong to London,April 2018,[],,"""Club World cabin very cramped"""
A380,Solo Leisure,Business Class,Los Angeles to London Heathrow,April 2018,[],"<td class=""review-value rating-yes"">yes</td>","""experience was totally acceptable"""
Boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,April 2018,[],,"""no accessory pack of eye shades"""
A380,Business,Business Class,Singapore to Dublin via London,March 2018,[],,"""It was all handled very poorly"""
Boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,April 2018,[],,"""Worst BA flight ever!"""
A319,Business,Business Class,London Heathrow to Dusseldorf,February 2018,[],,"""one expects a degree of comfort"""
A320,Business,Business Class,Madrid to London,April 2018,[],,"""crew professional and friendly"""
A320,Business,Business Class,London to Copenhagen ,April 2018,[],,"""the seat pitch is ridiculous"""
A380,Family Leisure,Premium Economy,Los Angeles to London,April 2018,[],,"""Unprofessional staff, uncomfortable seats"""
Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,March 2018,[],,"""complete waste of money"""
Boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,March 2018,[],"<td class=""review-value rating-yes"">yes</td>","""additional payment to select seats"""
A320,Family Leisure,Business Class,Gatwick to Madeira,March 2018,[],,"""staff try so very hard to please"""
A320,Business,Business Class,Warsaw to London,March 2018,[],"<td class=""review-value rating-yes"">yes</td>","""service attentive and prompt"""
A380,Business,Premium Economy,Singapore to Heathrow,March 2018,[],,"""don't have spare water"" "
Boeing 777,Business,Business Class,Chicago to Chennai via London,February 2018,[],,"""seat was claustrophobic"""
A380,Business,Business Class,London to Hong Kong,February 2018,[],,"""my worst experience in business class"""
A380,Solo Leisure,Premium Economy,Miami to London Heathrow,February 2018,[],"<td class=""review-value rating-yes"">yes</td>","""you would expect a better meal"""
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,February 2018,[],,"""at least a decade out of date""
"
Boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,February 2018,[],,"""meals were served very slowly""
"
A320,Solo Leisure,Business Class,Dusseldorf to London,February 2018,[],"<td class=""review-value rating-yes"">yes</td>","""Very satisfied with BA"""
Boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,February 2018,[],,"""A very unpleasant experience"""
A320,Solo Leisure,Business Class,London Heathrow to Belfast,January 2018,[],"<td class=""review-value rating-yes"">yes</td>","""good flight and service"""
A380,Business,Business Class,Singapore to Madrid via London Heathrow,January 2018,[],,"""Service was inattentive at best"""
Boeing 777,Solo Leisure,Business Class,Gatwick to Tobago,January 2018,[],,"""if we want anything, get it yourself"""
A319,Business,Business Class,London Gatwick to Turin,January 2018,[],,"""British Airways is cutting corners"""
A320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,December 2017,[],"<td class=""review-value rating-yes"">yes</td>","""British Airways is always a good choice"""
Boeing 777,Business,Business Class,Dubai to London,December 2017,[],,"""an awful experience"""
Boeing 777,Business,Business Class,London to Dubai,January 2018,[],,"""a terrible flight"""
A380,Solo Leisure,Premium Economy,London to Hong Kong,December 2017,[],"<td class=""review-value rating-yes"">yes</td>","""The attendants were polite"""
Boeing 777,Solo Leisure,Premium Economy,London to Seattle,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""little to complain about"""
Boeing 777,Solo Leisure,Premium Economy,Seattle to London,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""policy of charging to book a seat"""
A320,Business,Business Class,London Heathrow to Belfast,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""fast and efficient service"""
Boeing 747-400,Couple Leisure,Business Class,London Heathrow to New York JFK,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""new improvements are excellent"""
Boeing 777,Couple Leisure,Business Class,London Heathrow to Doha,October 2017,[],,"""a no frills business class"""
Boeing 747-400,Business,Business Class,Prague to Washington via London,November 2017,[],,"""the worst airline I have flown"""
A380,Couple Leisure,Business Class,London Heathrow to Johannesburg,November 2017,[],"<td class=""review-value rating-yes"">yes</td>","""In-flight service good"""
Boeing 747,Family Leisure,Business Class,London to Philadelphia,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""crew amazingly helpful"""
Boeing 747-400,Business,Business Class,London to New York JFK,November 2017,[],,"""Complete rip-off sums it up"""
A319,Couple Leisure,Business Class,Pisa to London,October 2017,[],,"""Time to find a new CEO I think"""
A320,Solo Leisure,Business Class,Faro to Gatwick,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""a good deal on the flight"""
A319,Family Leisure,Business Class,Malaga to Gatwick,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""very pleasant crew """
A319,Family Leisure,Business Class,Gatwick to Malaga,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""food was well presented"""
Boeing 747-400,Couple Leisure,Business Class,Gatwick to Orlando,September 2017,[],,"""depths to which BA have descended"""
A319,Solo Leisure,Business Class,Gatwick to Faro,October 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Overall a good flight"""
A320,Couple Leisure,Business Class,Funchal to Gatwick,October 2017,[],,"""provided a chaotic service"""
A380,Business,Business Class,Los Angeles to Doha via London,October 2017,[],,"""food was embarrassing bad"""
A320,Couple Leisure,Business Class,Kalamata to London Heathrow,September 2017,[],,"""service poorly synchronised"""
A380,Solo Leisure,Premium Economy,London to Hong Kong,September 2017,[],,"""really mixed experience"""
A320,Couple Leisure,Business Class,London Heathrow to Kalamata,September 2017,[],,"""Club Europe is poor value"""
Boeing 777,Business,Business Class,Dubai to London,September 2017,[],,"""airline is clearly failing fast"""
A320,Family Leisure,Business Class,Zakinthos to London Heathrow,September 2017,[],"<td class=""review-value rating-yes"">yes</td>","""very good flight again"""
A320,Family Leisure,Business Class,London Heathrow to Zakinthos,August 2017,[],"<td class=""review-value rating-yes"">yes</td>","""kind and chatty with us"""
Boeing 777,Solo Leisure,Business Class,Bangkok to London,September 2017,[],,"""not recommended at all"""
Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,August 2017,[],,"""significant downgrade in BA service"""
A320,Business,Business Class,London Heathrow to Keflavik,August 2017,[],"<td class=""review-value rating-yes"">yes</td>","""not really a business class cabin"""
Boeing 747,Business,Business Class,London to Philadelphia,August 2017,[],,"""bland insulting service"""
A320,Couple Leisure,Business Class,Athens to Newcastle via London,August 2017,[],,"""Another miserable experience"""
A319,Family Leisure,Business Class,London to Paris Orly,August 2017,[],,"""a general trend downwards"""
A380,Family Leisure,Business Class,Vancouver to London Heathrow,July 2017,[],,"""BA's golden years are well and truly over"""
Boeing 747-400,Solo Leisure,Business Class,Oslo to Philadelphia via London,August 2017,[],,"""extremely disappointed with Business Class"""
A320,Family Leisure,Business Class,Athens to London,August 2017,[],,"""some sort of mean spirited joke"""
A320,Business,Business Class,Paris CDG to London,August 2017,[],,"""not worth the money"""
A380,Solo Leisure,Premium Economy,Vancouver to London,July 2017,[],,"""declined to level of a budget airline"""
Boeing 747,Business,Business Class,London Heathrow to Accra,July 2017,[],,"""catch up with the others BA"""
Boeing 777,Solo Leisure,Business Class,San Diego to London,July 2017,[],,"""The worst business class"""
A319,Couple Leisure,Business Class,Pisa to London Gatwick,July 2017,[],"<td class=""review-value rating-yes"">yes</td>","""cabin crew were efficient and friendly enough"""
Boeing 777,Business,Business Class,Dubai to London,July 2017,[],,"""lacking the passion to serve"""
Boeing 747,Business,Business Class,New York JFK to London Heathrow,July 2017,[],,"""other carriers must be laughing"""
Boeing 777,Business,Business Class,Toronto to London Heathrow,June 2017,[],,"""angry and dissatisfied customer"""
A320,Couple Leisure,Business Class,Newcastle to Geneva via London,July 2017,[],"<td class=""review-value rating-yes"">yes</td>","""crew doing an excellent job"""
Boeing 747-400,Business,Business Class,Accra to London Heathrow,July 2017,[],,"""Nothing special or memorable"""
Boeing 747,Business,Business Class,Heathrow to Accra,June 2017,[],,"""Club World is now very tired and worn"""
Boeing 777,Business,Business Class,Beijing to London Heathrow,June 2017,[],,"""now providing a very inferior product"""
A380,Business,Premium Economy,Johannesburg to London,June 2017,[],,"""crews very young, unprofessional"""
A319,Couple Leisure,Business Class,Valencia to London Gatwick,June 2017,[],,"""Boarding was a disaster"""
A319,Couple Leisure,Business Class,London Gatwick to Valencia,June 2017,[],"<td class=""review-value rating-yes"">yes</td>","""Meal service surprisingly good"""
A319,Family Leisure,Business Class,Gatwick to Alicante,June 2017,[],"<td class=""review-value rating-yes"">yes</td>","""the same price as normal"""
Boeing 747-400,Business,Premium Economy,London to Boston,June 2017,[],,"""a low cost experience"""
A380,Couple Leisure,Premium Economy,London Heathrow to Sydney via Singapore,April 2017,[],,"""a much lower standard than other airlines"""
A380,Business,Business Class,London to Vancouver,June 2017,[],,"""one of the worst airlines"""
Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,May 2017,[],,"""BA is going to the dogs"""
Boeing 747-400,Business,Business Class,Chicago to London Heathrow,May 2017,[],,"""this service is a joke"""
A320,Couple Leisure,Business Class,Luxembourg to London,May 2017,[],,"""Absolute Cheapskates"""
